Code;Population;
SK0237500836;837;
SK0237500909;448;
SK0237500925;1004;
SK0237500968;11820;
SK0237500976;199;
SK0237500984;541;
SK0237517305;1047;
SK0237555916;431;
SK0237555924;359;
SK0237555932;436;
SK0237582816;1823;
SK031A509604;1397;
SK031A509655;1364;
SK031A509663;1061;
SK031A509795;3065;
SK031A509876;3935;
SK031A509949;753;
SK031A509981;1332;
SK031A510076;1472;
SK031A510084;699;
SK031A510106;7019;
SK031A510114;8812;
SK031A510173;1315;
SK031A510190;942;
SK031A510238;1950;
SK031A518719;667;
SK031B517402;81219;
SK031B517429;3303;
SK031B517470;122;
SK031B517488;2467;
SK031B517496;1018;
SK031B517500;1929;
SK031B517518;1494;
SK031B517526;1667;
SK031B517542;664;
SK031B517551;1542;
SK031B517577;1000;
SK031B517593;876;
SK031B517640;611;
SK031B517658;1862;
SK031B517682;1682;
SK031B517704;650;
SK031B517712;1641;
SK031B517721;1072;
SK031B517739;1667;
SK031B517755;1714;
SK031B517763;749;
SK031B517771;880;
SK031B517780;327;
SK031B517801;1412;
SK031B517828;1069;
SK031B517879;1028;
SK031B517917;5818;
SK031B517925;1226;
SK031B517933;2849;
SK031B517941;3343;
SK031B517950;1918;
SK031B517968;933;
SK031B517976;681;
SK031B517984;2591;
SK031B518000;1665;
SK031B518034;4379;
SK031B518042;3973;
SK031B518051;2105;
SK031B518069;3897;
SK031B518077;377;
SK031B518093;3010;
SK031B518131;871;
SK031B547522;868;
SK031B547557;695;
SK031B547590;344;
SK031B547611;717;
SK031B547620;256;
SK031B557935;1885;
SK031B557960;526;
SK031B557986;1097;
SK031B557994;420;
SK031B558168;386;
SK031B581712;321;
SK0311517461;11448;
SK0311517623;1228;
SK0311517631;892;
SK0311517674;1810;
SK0311517691;2249;
SK0311517798;1056;
SK0311517861;1652;
SK0311517895;1347;
SK0311517992;999;
SK0311518018;3971;
SK0311518085;3621;
SK0311581984;965;
SK0312509132;22730;
SK0312509159;4413;
SK0312509167;624;
SK0312509183;1111;
SK0312509213;2231;
SK0312509221;539;
SK0312509230;1976;
SK0312509248;6563;
SK0312509299;1688;
SK0312509311;2597;
SK0312509337;1908;
SK0312509345;5747;
SK0312509361;1356;
SK0312509396;773;
SK0312509400;5645;
SK0312509451;5242;
SK0312509477;2788;
SK0312509485;2741;
SK0312509493;3378;
SK0312509507;7043;
SK0312509515;2520;
SK0312509523;1702;
SK0312509531;2163;
SK0313509540;17720;
SK0313509639;1429;
SK0313509671;580;
SK0313509698;1612;
SK0313509701;1320;
SK0313509710;435;
SK0313509744;428;
SK0313509761;822;
SK0313509787;302;
SK0313509825;824;
SK0313509833;604;
SK0313509922;1093;
SK0313509957;1363;
SK0313509965;170;
SK0313509973;980;
SK0313509990;179;
SK0313510009;472;
SK0313510017;893;
SK0313510041;537;
SK0313510165;1519;
SK0313510181;811;
SK0313510211;2496;
SK0313510254;1640;
SK0313580813;584;
SK0314509175;549;
SK0314509205;1718;
SK0314509256;14321;
SK0314509264;2346;
SK0314509272;962;
SK0314509281;447;
SK0314509302;3219;
SK0314509329;1927;
SK0314509370;1163;
SK0314509426;1832;
SK0314509434;388;
SK0314509442;1024;
SK0314509469;1111;
SK0314580791;1545;
SK0315507393;230;
SK0315510262;30162;
SK0315510271;540;
SK0315510319;170;
SK0315510327;1998;
SK0315510335;127;
SK0315510351;109;
SK0315510386;356;
SK0315510408;1210;
SK0315510416;322;
SK0315510424;492;
SK0315510459;148;
SK0315510467;1465;
SK0315510505;364;
SK0315510513;306;
SK0315510521;473;
SK0315510564;599;
SK0315510572;542;
SK0315510581;365;
SK0315510602;103;
SK0315510611;910;
SK0315510653;604;
SK0315510688;85;
SK0315510696;363;
SK0315510700;318;
SK0315510726;7038;
SK0315510734;1076;
SK0315510751;659;
SK0315510777;601;
SK0315510793;1206;
SK0315510831;257;
SK0315510840;116;
SK0315510858;231;
SK0315510874;158;
SK0315510904;1316;
SK0315510912;397;
SK0315510921;283;
SK0315510947;1090;
SK0315510963;1331;
SK0315510971;231;
SK0315511013;697;
SK0315511048;923;
SK0315511072;216;
SK0315511099;576;
SK0315511111;685;
SK0315511129;2361;
SK0315511137;41;
SK0315511145;369;
SK0315511153;631;
SK0315511170;2216;
SK0315511188;110;
SK0315511196;1279;
SK0315511200;468;
SK0315556807;95;
SK0315558281;1235;
SK0315580287;1302;
SK0316512036;51139;
SK0316512052;1230;
SK0316512061;347;
SK0316512079;1092;
SK0316512133;1454;
SK0316512150;556;
SK0316512168;560;
SK0316512206;356;
SK0316512214;1051;
SK0316512257;154;
SK0316512290;198;
SK0316512346;103;
SK0316512354;1791;
SK0316512371;1402;
SK0316512389;1072;
SK0316512397;124;
SK0316512419;160;
SK0316512435;924;
SK0316512478;1014;
SK0316512486;255;
SK0316512508;683;
SK0316512524;1083;
SK0316512541;395;
SK0316512567;207;
SK0316512583;644;
SK0316512591;179;
SK0316512613;433;
SK0316512630;230;
SK0316512648;4772;
SK0316512656;505;
SK0316512664;630;
SK0316512672;287;
SK0316512681;4140;
SK0316512702;972;
